provinsi,2015,2016,2017,2018,2019,2020,lat,long
Aceh,913.27,9158.45,3865.16,1284.7,730,795,4.695135,96.749397
Bali,373.46,0,370.8,1013.76,373,0,-8.340539,115.091949
Bangka Belitung,19770.81,0,0,2055.67,4778,0,-2.741051,106.44059
Banten,250.02,0,0,0,9,0,-6.405817,106.064018
Bengkulu,931.76,1000.39,131.04,8.82,11,18,-3.577847,102.34639
DKI Jakarta,0,0,0,0,0,0,-6.17511,106.865036
Gorontalo,5225.89,737.91,0,158.65,1909,0,0.699937,122.446724
Jambi,115634.34,8281.25,109.17,1577.75,56593,226,-1.610123,103.613121
Jawa Barat,2886.03,0,648.11,4104.51,9552,0,-7.090911,107.668884
Jawa Tengah,2471.7,0,6028.48,331.67,4782,0,-6.96878,110.123734
Jawa Timur,7966.79,0,5116.43,8886.39,23655,7,-7.536064,112.238403
Kalimantan Barat,93515.8,9174.19,7467.33,68422.03,151919,2357,-0.278781,111.475288
Kalimantan Selatan,196516.77,2331.96,8290.34,98637.99,137848,25,-3.092642,115.28376
Kalimantan Tengah,583833.44,6148.42,1743.82,47432.57,317749,1296,-1.681488,113.382355
Kalimantan Timur,69352.96,43136.78,676.38,27893.2,68524,3375,0.538659,116.419388
Kalimantan Utara,14506.2,2107.21,82.22,627.71,8559,65,3.073093,116.041389
Kepulauan Riau,0,67.36,19.61,320.96,6134,8685,3.945651,108.142868
Lampung,71326.49,3201.24,6177.79,15156.22,35546,590,-4.558585,105.406807
Maluku,43281.45,7834.54,3918.12,14906.44,27211,660,-3.238462,130.145279
Maluku Utara,13261.1,103.11,31.1,69.54,2781,55,1.570999,127.808769
Nusa Tenggara Barat,2565.71,706.07,33120.81,14461.38,60234,372,-8.652933,117.361649
Nusa Tenggara Timur,85430.86,8968.09,38326.09,57428.79,136920,2220,-8.657382,121.079369
Papua,350005.3,186571.6,28767.38,88626.84,108110,1171,-4.269928,138.080353
Papua Barat,7964.41,542.09,1156.03,509.5,1533,3171,-1.336115,133.174713
Riau,183808.59,85219.51,6866.09,37236.27,90550,14644,0.293347,101.706825
Sulawesi Barat,4989.38,4133.98,188.13,978.38,3029,55,-2.844137,119.232079
Sulawesi Selatan,10074.32,438.4,1035.51,1741.27,15697,375,-3.668799,119.974052
Sulawesi Tengah,31679.88,11744.4,1310.19,4147.28,11551,344,-1.430025,121.445618
Sulawesi Tenggara,31763.54,72.42,3313.68,8594.67,16929,141,-4.14491,122.174606
Sulawesi Utara,4861.31,2240.47,103.04,326.39,4574,0,0.624693,123.974998
Sumatera Barat,3940.14,2629.82,2227.43,2421.9,2133,778,-0.778447,100.472641
Sumatera Selatan,646298.8,8784.91,3625.66,16226.6,336798,667,-3.311732,104.407041
Sumatera Utara,6010.92,33028.62,767.98,3678.79,2514,1742,2.236053,99.232411
Yogyakarta,0,0,0,0,23,0,-7.893804,110.426328
